pk,desa,direccion,ubicacion,localidad,cod_postal,isla,x,y,vigencia_inicio,vigencia_fin
494,DESA00640,CALLE PEREZ DEL TORO 1,EDIFICIO HUMANIDADES: Edificio principal  pilar entre cristalera,Palmas de Gran Canaria (Las),35003,GRAN CANARIA,458297,3.10967e+006,20170908000000,
495,DESA00641,CALLE STA JUANA DE ARCO 1,EDIFICIO FACULTAD DE CIENCIAS DE LA EDUCACIÓN: Al lado mostrador conserjería,Palmas de Gran Canaria (Las),35004,GRAN CANARIA,458263,3.10974e+006,20170908000000,
496,DESA00642,CALLE MIRAMAR 121 TALIARTE,PARQUE CIENTIFICO TECNOLOGICO MARINO: Vestíbulo edificio principal,Telde,35214,GRAN CANARIA,463636,3.09633e+006,20170908000000,
497,DESA00643,PASEO BLAS CABRERA FELIFE S/N,FACULTAD CIENCIAS DE LA SALUD: Aulario modulo A,Palmas de Gran Canaria (Las),35016,GRAN CANARIA,459053,3.10546e+006,20170908000000,
498,DESA00644,CAMPUS UNIVERSITARIO CARDONES S/N,EDIFICIO FACULTAD VETERINARIA: Modulo 6 mostrador de conserjería,Arucas,35413,GRAN CANARIA,450309,3.11271e+006,20170908000000,
499,DESA00645,CAMPUS SAN CRISTOBAL S/N,EDIFICIO LA GRANJA: Al lado del mostrador de conserjería,Palmas de Gran Canaria (Las),35016,GRAN CANARIA,459044,3.10607e+006,20170908000000,
500,DESA00646,POZO DE LAS NIEVES S/N,EDIFICIO TÉCNICO E.V.A. N  25: Botiquín,Vega de San Mateo,35320,GRAN CANARIA,444256,3.09314e+006,20170908000000,
501,DESA00647,POZO DE LAS NIEVES S/N,EDIFICIO TÉCNICO E.V.A. N  21: Cuerpo de guardia,Vega de San Mateo,35320,GRAN CANARIA,444258,3.09318e+006,20170908000000,
502,DESA00648,CALLE ENRIQUE WOLFSON 24,C.I. MIMITOS: Planta inferior,Santa Cruz de Tenerife,38004,TENERIFE,376968,3.15027e+006,20170908000000,
503,DESA00649,CMNO YUGO (EL) 7,MONTELNOR: 1  Planta,Laguna (La),38209,TENERIFE,367866,3.15231e+006,20170908000000,
504,DESA00650,CALLE ROBLES (LOS) 2,APARTAMENTOS MASARU: Frente a la recepción izquierda,Puerto de la Cruz,38400,TENERIFE,349386,3.14411e+006,20170908000000,
505,DESA00651,CALLE ROBLES (LOS) 2,APARTAMENTOS MASARU: Caseta socorrista de la piscina,Puerto de la Cruz,38400,TENERIFE,349330,3.14406e+006,20170908000000,
506,DESA00652,CALLE ANFI DEL MAR  2,ANFI DEL MAR: Oficinas de ventas,Mogan,35120,GRAN CANARIA,431229,3.07219e+006,20170908000000,
507,DESA00653,CALLE ANFI DEL MAR  2,ANFI DEL MAR: Oficinas  in house,Mogan,35120,GRAN CANARIA,431236,3.0722e+006,20170908000000,
508,DESA00654,CALLE ANFI DEL MAR  2,ANFI DEL MAR: Oficinas de recursos humanos,Mogan,35120,GRAN CANARIA,431233,3.07221e+006,20170908000000,
